,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters
414,NWG.L,NatWest Group PLC,True,Europe
415,RIO.L,Rio Tinto PLC,True,Europe
416,DLAR.L,De La Rue PLC,True,Europe
417,MGNS.L,Morgan Sindall Group PLC,True,Europe
418,SGE.L,Sage Group PLC,True,Europe
419,SBRY.L,J Sainsbury PLC,True,Europe
420,SVS.L,Savills PLC,True,Europe
421,SDR.L,Schroders PLC,True,Europe
422,SAIN.L,Scottish American Investment Company P L C,True,Europe
423,FGT.L,Finsbury Growth & Income Trust PLC,True,Europe
424,SMT.L,Scottish Mortgage Investment Trust PLC,True,Europe
425,STVG.L,STV Group PLC,True,Europe
426,ARBB.L,Arbuthnot Banking Group PLC,True,Europe
427,SNR.L,Senior PLC,True,Europe
428,SRP.L,Serco Group PLC,True,Europe
429,SVT.L,Severn Trent PLC,True,Europe
430,SFR.L,Severfield PLC,True,Europe
431,RWI.L,Renewi PLC,True,Europe
432,SHI.L,SIG PLC,True,Europe
433,BGS.L,Baillie Gifford Shin Nippon PLC,True,Europe
434,SGRO.L,Segro PLC,True,Europe
435,SMWH.L,WH Smith PLC,True,Europe
436,SMDS.L,DS Smith PLC,True,Europe
437,SMIN.L,Smiths Group PLC,True,Europe
438,PNN.L,Pennon Group PLC,True,Europe
439,SPX.L,Spirax Group PLC,True,Europe
440,STAN.L,Standard Chartered PLC,True,Europe
441,MTC.L,Mothercare PLC,True,Europe
442,SUS.L,S&U PLC,True,Europe
443,TATE.L,Tate & Lyle PLC,True,Europe
444,TW.L,Taylor Wimpey PLC,True,Europe
445,TMPL.L,Temple Bar Investment Trust PLC,True,Europe
446,TSCO.L,Tesco PLC,True,Europe
447,MRCM.L,Mercantile Investment Trust PLC,True,Europe
448,TFW.L,FW Thorpe PLC,True,Europe
449,THRG.L,BlackRock Throgmorton Trust plc,True,Europe
450,TPK.L,Travis Perkins PLC,True,Europe
451,TET.L,Treatt PLC,True,Europe
452,TRY.L,TR Property Investment Trust PLC,True,Europe
453,HSL.L,Henderson Smaller Companies Investment Trust PLC,True,Europe
454,LLOY.L,Lloyds Banking Group PLC,True,Europe
455,TLW.L,Tullow Oil PLC,True,Europe
456,ULVR.L,Unilever PLC,True,Europe
457,AVG.L,Avingtrans PLC,True,Europe
458,VP.L,VP PLC,True,Europe
459,VCP.L,Victoria PLC,True,Europe
460,VIDV.L,Videndum PLC,True,Europe
461,VLX.L,Volex PLC,True,Europe
462,WEIR.L,Weir Group PLC,True,Europe
463,WTB.L,Whitbread PLC,True,Europe
464,MARS.L,Marston's PLC,True,Europe
465,WPP.L,WPP PLC,True,Europe
466,YNGa.L,Young & Co's Brewery PLC,True,Europe
467,SYNTS.L,Synthomer PLC,True,Europe
468,CTY.L,City of London Investment Trust PLC,True,Europe
469,ARBNO.S,Arbonia AG,True,Europe
470,GAMH.S,GAM Holding AG,True,Europe
471,BLKB.S,Basellandschaftliche Kantonalbank,True,Europe
472,BSKP.S,Basler Kantonalbank,True,Europe
473,BELL.S,Bell Food Group AG,True,Europe
474,OERL.S,OC Oerlikon Corporation AG Pfaeffikon,True,Europe
475,CALN.S,Calida Holding AG,True,Europe
476,GAV.S,Carlo Gavazzi Holding AG,True,Europe
477,DAE.S,Daetwyler Holding AG,True,Europe
478,EMSN.S,Ems Chemie Holding AG,True,Europe
479,CFR.S,Compagnie Financiere Richemont SA,True,Europe
480,CFT.S,Compagnie Financiere Tradition SA,True,Europe
481,GF.S,Georg Fischer AG,True,Europe
482,FHZN.S,Flughafen Zuerich AG,True,Europe
483,FORN.S,Forbo Holding AG,True,Europe
484,APGN.S,APG SGA SA,True,Europe
485,GRKP.S,Graubuendner Kantonalbank,True,Europe
486,GURN.S,Gurit Holding AG,True,Europe
487,HOLN.S,Holcim AG,True,Europe
488,ISN.S,Intershop Holding AG,True,Europe
489,JFN.S,Jungfraubahn Holding AG,True,Europe
490,BEKN.S,Berner Kantonalbank AG,True,Europe
491,KARN.S,Kardex Holding AG,True,Europe
492,NEAG.S,Naturenergie Holding AG,True,Europe
493,VATN.S,Valiant Holding AG,True,Europe
494,LEHN.S,Lem Holding SA,True,Europe
495,LISN.S,Chocoladefabriken Lindt & Spruengli AG,True,Europe
496,METG.S,Meier Tobler Group AG,True,Europe
497,METN.S,Metall Zug AG,True,Europe
498,MIKN.S,Mikron Holding AG,True,Europe
499,GMI.S,Groupe Minoteries SA,True,Europe
500,NESN.S,Nestle SA,True,Europe
501,OFN.S,Orell Fuessli AG,True,Europe
502,PEDU.S,Perrot Duval Holding SA,True,Europe
503,PMN.S,Phoenix Mecano AG,True,Europe
