,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
8631,300285.SZ,Shandong Sinocera Functional Material Co Ltd,True,Asia,Industrials
8632,EMI.PS,Emperador Inc,True,Asia,Consumer Non-Cyclicals
8633,002673.SZ,Western Securities Co Ltd,True,Asia,Financials
8634,601928.SS,Jiangsu Phoenix Publishing & Media Corp Ltd,True,Asia,Consumer Cyclicals
8635,018260.KS,Samsung SDS Co Ltd,True,Asia,Technology
8636,EVDB.KL,EVD Bhd,True,Asia,Technology
8637,4003.SE,United Electronics Company JSC,True,Asia,Consumer Cyclicals
8638,ADESE.IS,Adese Gayrimenkul Yatirim AS,True,Asia,Consumer Non-Cyclicals
8639,HIAE.NS,Hindustan Aeronautics Ltd,True,Asia,Industrials
8640,300287.SZ,Beijing Philisense Technology Co Ltd,True,Asia,Technology
8641,601360.SS,360 Security Technology Inc,True,Asia,Technology
8642,1269.HK,China First Capital Group Ltd,True,Asia,Consumer Cyclicals
8643,6823.HK,HKT Trust and HKT Ltd,True,Asia,Technology
8644,6055.T,Japan Material Co Ltd,True,Asia,Technology
8645,6619.T,W-Scope Corp,True,Asia,Industrials
8646,PREI.KL,Pavilion Real Estate Investment Trust,True,Asia,Real Estate
8647,5263.TWO,Brogent Technologies Inc,True,Asia,Technology
8648,601929.SS,JiShi Media Co Ltd,True,Asia,Consumer Cyclicals
8649,002653.SZ,Haisco Pharmaceutical Group Co Ltd,True,Asia,Healthcare
8650,300296.SZ,Leyard Optoelectronic Co Ltd,True,Asia,Technology
8651,601515.SS,Guangdong DFP New Material Group Co Ltd,True,Asia,Industrials
8652,1201.SE,Takween Advanced Industries SJSC,True,Asia,Basic Materials
8653,601231.SS,Universal Scientific Industrial Shanghai Co Ltd,True,Asia,Technology
8654,ENJSA.IS,Enerjisa Enerji AS,True,Asia,Utilities
8655,MINC.NS,Minda Corporation Ltd,True,Asia,Consumer Cyclicals
8656,5269.TW,Asmedia Technology Inc,True,Asia,Technology
8657,002670.SZ,Guosheng Financial Holding Inc,True,Asia,Financials
8658,300308.SZ,Zhongji Innolight Co Ltd,True,Asia,Technology
8659,603888.SS,Xinhuanet Co Ltd,True,Asia,Technology
8660,300315.SZ,Ourpalm Co Ltd,True,Asia,Technology
8661,ESSA.JK,ESSA Industries Indonesia Tbk PT,True,Asia,Energy
8662,SNTO.KL,Sentoria Group Bhd,True,Asia,Consumer Cyclicals
8663,2867.TW,Mercuries Life Insurance Co Ltd,True,Asia,Financials
8664,NBCC.NS,NBCC (India) Ltd,True,Asia,Industrials
8665,3660.T,Istyle Inc,True,Asia,Consumer Cyclicals
8666,8436.TWO,TCI Co Ltd,True,Asia,Consumer Non-Cyclicals
8667,GTCAP.PS,GT Capital Holdings Inc,True,Asia,Consumer Cyclicals
8668,002839.SZ,Jiangsu Zhangjiagang Rural Commercial Bank Co Ltd,True,Asia,Financials
8669,603077.SS,Sichuan Hebang Biotechnology Co Ltd,True,Asia,Basic Materials
8670,3661.T,M-up Holdings Inc,True,Asia,Technology
8671,300316.SZ,Zhejiang Jingsheng Mechanical & Electrical Co Ltd,True,Asia,Technology
8672,OZKGY.IS,Ozak Gayrimenkul Yatirim Ortakligi AS,True,Asia,Real Estate
8673,601128.SS,Jiangsu Changshu Rural Commercial Bank Co Ltd,True,Asia,Financials
8674,002690.SZ,Hefei Meyer Optoelectronic Technology Inc,True,Asia,Industrials
